"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "XML", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\includesPag\carousel.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\xampp\htdocs\VegaExpress\includesPag\carrinho.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 20, 105
"c:\xampp\htdocs\VegaExpress\includesPag\footer.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\VegaExpress\includesPag\listagem.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\xampp\htdocs\VegaExpress\includesPag\navbar.php", "PHP", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 28, 224
"c:\xampp\htdocs\VegaExpress\includesPag\navbarSideBar.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 23, 120
"c:\xampp\htdocs\VegaExpress\includesPag\perfilU.php", "PHP", 0, 270, 0, 0, 0, 0, 0, 0, 0, 1, 64, 335
"c:\xampp\htdocs\VegaExpress\includesPag\pesquisa.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89
"c:\xampp\htdocs\VegaExpress\includesPag\registrarEmp.php", "PHP", 0, 258, 0, 0, 0, 0, 0, 0, 0, 29, 92, 379
"c:\xampp\htdocs\VegaExpress\includesPag\sobre.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\xampp\htdocs\VegaExpress\includesPag\visualizacaoEditarProduto.php", "PHP", 0, 195, 0, 0, 0, 0, 0, 0, 0, 7, 37, 239
"c:\xampp\htdocs\VegaExpress\includesPag\visualizacaoProduto.php", "PHP", 0, 285, 0, 0, 0, 0, 0, 0, 0, 7, 57, 349
"c:\xampp\htdocs\VegaExpress\includes\fadeIn.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 52, 0, 2, 7, 61
"c:\xampp\htdocs\VegaExpress\includes\link.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 394, 0, 37, 123, 554
"c:\xampp\htdocs\VegaExpress\includes\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 256, 0, 45, 60, 361
"c:\xampp\htdocs\VegaExpress\includes\perfil.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 145, 0, 1, 35, 181
"c:\xampp\htdocs\VegaExpress\includes\pesquisa.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\xampp\htdocs\VegaExpress\includes\publicacao.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 123, 0, 2, 24, 149
"c:\xampp\htdocs\VegaExpress\includes\sideBar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 88, 0, 8, 30, 126
"c:\xampp\htdocs\VegaExpress\includes\sidebarT.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 11, 83
"c:\xampp\htdocs\VegaExpress\includes\visualizacaoProduto.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 14, 32, 136
"c:\xampp\htdocs\VegaExpress\index.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 17, 64
"c:\xampp\htdocs\VegaExpress\package-lock.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\VegaExpress\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\VegaExpress\perfil.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
