"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "XML", "PHP", "JSON with Comments", "SQL", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-caret-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-checkbox.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-chess.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-circle-small.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-clip.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-clock.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-disabled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-download.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-share.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-upload.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-comment-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-comment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-compress-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-compress.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-computer.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cookie.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copy-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copyright.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cream.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-credit-card.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross-small.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-crown.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-finger.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-plus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-text-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-text.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-dart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-data-transfer.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-database.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-delete.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-diamond.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-dice.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
